seed_id,question,answer
88,"Kumar has a regular 2024-gon, and there is a coin on each vertex of it. In one operation, he selects a vertex, takes one coin from each of the two adjacent vertices to this selected vertex, adds one coin to the selected vertex, and keeps the extra coin for himself. He can perform such an operation only when both of the two adjacent vertices have at least one coin. He stops when he can no longer perform any operation. Let the maximum value of the number of coins he can collect be \(N_{max}\), and the minimum value be \(N_{min}\). Find the value of \(1000\cdot N_{max}+N_{min}\).",2022676
89,"On a \(2025\times2025\) grid table, one white piece and one black piece are randomly placed in different cells. Alice moves the white piece first, then Bob moves the black piece, and they move alternately, and the following rules are satisfied: Each move can only be one cell horizontally or vertically, and for the same piece, horizontal and vertical moves must be alternated. If after Bob's move, the black piece and the white piece exactly fall into the same cell, then Bob wins; otherwise, Alice wins. Let \(p = m/n\) be the probability that Bob has a winning strategy where \(m\) and \(n\) are coprime. Find \(m\).",2050312
9,Place \(m\) \(1 \times 2\) dominos on a \(7\times7\) chessboard such that no domino can slide horizontally or vertically when other dominos remains fixed. Find the minimal possible value of \(m\).,22
90,"The side lengths of a convex 2025-gon are \(x_1, x_2, \cdots, x_n\), where \(x_i\in\mathbb{Z}_{+}\) (\(1\leq i\leq n\)). Let \(f(m)\) denote the minimum value of \(x_1x_2\cdots x_n\) when the perimeter of this convex polygon is \(m\). Find the value of \(f(2025) + f(2026)+\cdots + f(4050)\).",2061442
91,"At a party, the host wants to distribute 2025 pieces of cookies of the same size to \(n\) guests and follow the following two rules: (1) Each cookie can be divided into at most two parts (does not have to be equally divided). (2) The total amount of cookies received by each guest is equal. Find the sum of all positive integers \(n\) for which such a distribution method exists.",2085451
92,"In an \(n\times n\) (\(n\in\mathbb{N}^*, n\geq2\)) chessboard, each unit square is filled with the number \(0\). In each operation, two unit squares with a common side are selected, and the numbers in them are both increased by \(1\). If it is possible, through several (more than \(0\) times) operations, to make the sum of the numbers in each row and each column be the same value, then the minimum number of operations is denoted as \(f(n)\); if there is no such operation, then \(f(n) = 0\). Find \(\sum_{i = 2}^{2025}f(i)\).",3077492
93,"For positive integer \(n\) and real numbers \(a_1, a_2, \ldots, a_n \in[-1,1]\). Let \(S=\sum_{i=1}^n a_i\) and \(f(n)\) be the maximum value of \(\sum_{i=1}^n\left|\frac{S-a_i}{n}-a_i\right|\). Find \(\sum_{k=1}^{225} kf(k)\)．",3847537
94,"Non negative real numbers \(x_1, x_2, \cdots, x_{2025}\) sum up to 1. Let \(S = \frac{m}{n}\) be the maximal value of \(\sum_{1 \leq i, j \leq 2025} \frac{2 i-1}{2 j-1} x_i x_j\) where \(m\) and \(n\) are coprime, find \(m+n\).",4104674
95,"There are 13 cards, on which the positive integers \(2,3,\cdots,14\) are written respectively. These cards are randomly arranged in a row from left to right, and the number on the \(i\)-th card is denoted as \(a_i\), where \(i = 1,2,\cdots,13\). Let the probability that \(a_i\geqslant i\) for all \(i = 1,2,\cdots,13\) be \(\frac{a}{x}\), where \(a\) and \(x\) are relatively prime positive integers. Find the value of \(a + x\).",6081079
96,"Let \(A = \{1,2,\cdots,12\}\), and \(f\) be a one-to-one mapping from \(A\) onto \(A\). Denote \(f_1(x)=f(x)\) and \(f_{n + 1}(x)=f(f_n(x))\). The mapping \(f\) satisfies the following conditions: (1) For all \(x\in A\), \(f(x)\neq x\); (2) For all \(x\in A\), \(f_{35}(x)=x\). Question: How many mappings \(f\) that satisfy the above conditions are there?",13685760
97,"There are 7671 piles of coins, denoted as \(S_1, S_2, \cdots, S_{7671}\) respectively. Initially, for each \(k = 1, 2, \cdots, 7671\), there are \(k\) coins in the pile \(S_k\). In one operation, an ordered pair \((i, j)\) is selected, where \(i\) and \(j\) satisfy the following two conditions: - \(1\leq i < j\leq7671\); - There is at least one coin in both the pile \(S_i\) and the pile \(S_j\); - The ordered pair \((i, j)\) has not been selected in any previous operation. Then, if there are \(a\) coins and \(b\) coins in \(S_i\) and \(S_j\) respectively, \(\gcd(a,b)\) coins are removed from each of the two piles. What is the maximum number of times this operation can be performed?",14711060
98,"Take out 17 balls from an ample supply of red, green, and blue balls (these balls are completely identical except for their colors) and arrange them in a row. It is required that no two green balls are adjacent. Find the number of arrangements that meet the requirements.",28357376
99,"Consider a graph with 199 vertices, where each pair of vertices are connected by an edge. 199 of the edges are two-way and the rest of the edges are one-way. We called a quadruple of vertices \(A, B, C, D\) ""mutually-connected"" if one can move from any vertex to any other vertex among the four via the edges. Find the maximum possible number of such ""mutually-connected"" quadruples.",33124147
